user,date,tweet
GoibiboSupport,2022-12-27 11:31:56+00:00,"@er_soumya Hi Soumya,

We already informed you that in a very rare instance when a payment or an online transaction is unsuccessful, we refund the entire amount to your bank. Your bank may take up to 7 -10 working days to reflect the amount back into your account. 

Regards ,
Kunal"
zomatocare,2022-12-27 11:31:27+00:00,"@Hemant27367066 transaction processing is TXN302845249. We request you contact your bank's support, for the exact status of your refund.
Please let us know if there is anything else we may assist you with. (2/2)"
isoumyasinha,2022-12-27 11:30:42+00:00,"@TheOfficialSBI I made a UPI transaction on 09 December 2022 which led to a pending transaction to date; however, the money was debited on time. Launched complaints. Today I was informed by a customer care executed, that the money was sent to merchant's bank- @HDFC_Bank"
airtelbank,2022-12-27 11:28:26+00:00,@Sandeep61421534 Hi Sandeep! Please do not provide your account/transaction details in public rather DM/inbox as we consider it to be personal information. Our page is visible to the public. -NY  https://t.co/P982uaMbW3
NotFroxity,2022-12-27 11:26:33+00:00,"The things I learned today is, isi minyak motor pakai debit card, kena charge floating point sbb isi minyak skit sgt jumlah dia. Ye lah isi minyak rm4 je, tapi pakai debit. Nasib banker kata transaction tu akan dpt balik. Terkejut hilang rm200 sekali gus dlm bank tak tahu apa2."
Dream11,2022-12-27 11:24:39+00:00,@DesaiHimaja We are sorry to hear this. Withdrawals can take upto 3 business days to be credited to your bank account. Please share the transaction details on this https://t.co/C9g83ryIAm so we can check this further and update you.
TheOfficialSBI,2022-12-27 11:24:36+00:00,@Avi_monu10 at  unauthorisedtransaction@sbi.co.in and call our contact center at Toll free number: 1800 11 1109 or  Toll Free Mobile Number-9449112211 or at Toll number: 080-26599990 to report the unauthorized transaction and register complaint for this fraud transaction. (2/4)
TheOfficialSBI,2022-12-27 11:24:35+00:00,"@Avi_monu10 In order to assist you more effectively, kindly elaborate on your concern via DM. We will be happy to assist you. If an unauthorized transaction has happened in your account, we advise you to immediately send an email with the complete transaction details to our email id (1/4)"
prcoooool,2022-12-27 11:23:41+00:00,"@KotakBankLtd 
I am yet to receive my credit card.
Some fraud txn msg i got.
Dear Customer, we have blocked your Kotak Bank Credit Card xxxx4563  as there was a fraud transaction(s) suspected on your card. Please contact our Customer Care at 18602662666 for further clarification."
2_tubosun,2022-12-27 11:22:31+00:00,"@CTeeBlack @olamiotan_1 @ConvertedCode_1 @Ekitipikin Account and when provided, they picked a transaction there( a refund request i made to my bank unrelated to anything bet) and started asking me to explain why i requested for a charge back. I did but till date nothing. I had to abandon them with funds over 20k in my 1x."
Sandeep61421534,2022-12-27 11:21:42+00:00,"Please check and revert as well other wise I will quit from your bank 

1st transaction was 22-12-2022 
Transaction ref :- 235609193786 from Airtel payment Bank

2nd transaction was 23-12-2022

Transaction ref no:- FT212229652571 FROM HDFC BANK"
Sandeep61421534,2022-12-27 11:21:41+00:00,@KotakBankLtd @facebook  i have bank account of kotak mahindra bank i have two transactions to kotak bank from other bank both are transaction completely successful but amount not reflecting of both are transaction amount  in our kotak bank
TheOfficialSBI,2022-12-27 11:20:53+00:00,@spyder_verse We understand your concern. Please register a complaint in this regard at this link    https://t.co/YdGUw4ByCT    as Personal Segment/Individual Customer under category- General Banking&gt;Branch Related&gt;&gt;Repeated visits to the branch for completing a transaction and (1/3)
fatiihaaa_,2022-12-27 11:15:21+00:00,@CIMB_Assists why transaction from other bank dah succesful tapi duit tak masuk pun dalam account i ?!!!!!
TheOfficialSBI,2022-12-27 11:11:44+00:00,"@Vinayver0199 We regret the inconvenience caused. As per confirmation received from the Branch Manager, no ATM is available in the branch periphery. However, within ½ Km both side of the branch SBI ATMs are available. You can use our Green Channel facility for any transaction by ATM (1/2)"
TheOfficialSBI,2022-12-27 11:10:09+00:00,"@narendrayadavvv Please note that your complaint has been closed with the following remark -""There is no debit in the customer's account on 18/12/22 for the transaction no 8616 specified in the CRM ticket / complaint no 168502264""."
AxisBankSupport,2022-12-27 11:08:49+00:00,"@AlirazaSuterwal transaction or download any app or part with confidential account related information. Please refrain from doing so and report such incidents immediately. Regards, Team Axis Bank. https://t.co/S8xhHTXwG7 (2/2)"
BMyner,2022-12-27 11:06:09+00:00,@KeEquityBank Is there transaction charge when transferring money from mpesa till to equity bank account?
IamNezery,2022-12-27 11:00:55+00:00,"@MTNNG Hello @MTNNG 
I made a transaction on your MTN app yesterday to buy a data using my bank card. 
Untill now my data has not been credited.
Please I need this fixed!"
AxisBankSupport,2022-12-27 10:54:47+00:00,"@wicked_Sny never ask you to initiate any financial transaction or download any app or part with confidential account related information. Please refrain from doing so and report such incidents immediately. Regards, Team Axis Bank. https://t.co/S8xhHTWYQz (2/2)"
kudahelp_ng,2022-12-27 10:52:27+00:00,"@Luminaryxino Hi,
This transaction was confirmed successful on our end.
Please have the beneficiary reach our to his bank with the session ID to reconfirm.
Thanks💜"
TheOfficialSBI,2022-12-27 10:50:37+00:00,"@naveen7bbc providing services to the customers and no transaction is done in the account of the customer without his/her consent.  If you are facing any issue, please register  a complaint in this regard at this link  https://t.co/YdGUw4ByCT    as Personal Segment/Individual (2/4)"
shjislamicbank,2022-12-27 10:50:25+00:00,Add your #SharjahIslamicBank Card to #SamsungWallet and complete a transaction to earn an eVoucher worth AED 184. TCs apply. https://t.co/39ygzQUcS2 https://t.co/ivoS7aAOX2
